,Name,ReviewCount,Brand,ImageURL,Rating
2609,"Nicole by OPI Nail Lacquer, Next Stop the Bikini Zone A59, .5 fl oz",1,opi,https://i5.walmartimages.com/asr/a3436bdc-e2e5-4c0c-b55c-0b2cbfbd7757_1.dfbc7c5baecd7674a3dfb60c84daf4b7.jpeg ,5
3124,"R+Co Aircraft Pomade Mousse, 5.6 Oz",1,,https://i5.walmartimages.com/asr/03319cbe-7f61-42d3-afa9-4c2ac5e2342e.2b236bcbb74ce2f85e3d3160d9b52236.jpeg, 5
885,Candle Warmers Etc. Rustic Brown Hurricane Candle Warmer Lantern,10,"candle, warmers, etc",https://i5.walmartimages.com/asr/54376245-b5c1-4d6a-9972-bc41a2a825ea_1.f46b3671e8d222adc37867e197457837.png ,5
3140,"Recovery Complex Anti-Frizz Shine Serum by Bain de Terre for Unisex, 4.2 oz",4,"bain, de, terre",https://i5.walmartimages.com/asr/fcdb4d2e-3727-4bc4-bb2a-63c585c236b0_1.4c8c7111e5dde79bad7e54b6f71a8781.jpeg,5
3137,"ReNew Life CleanseMore, Veggie Caps, 60 ea",15,"renew, life",https://i5.walmartimages.com/asr/9f707fe4-9ee3-4dc5-b230-0005d2ba6f29_1.3b8ea51118f73b8528bbc6b808dd4ba4.jpeg ,5
436,"Alba Botanica Very Emollient Herbal Healing Body Lotion, 32 oz.",3,"alba, botanica",https://i5.walmartimages.com/asr/6050a2f0-3f91-4fb5-a0d3-07878bbe0f21.2ba494455079455da1f24ff0a193245c.jpeg ,5
1704,"Groganics DHT Ice Oil Scalp Moisturizer, 4 oz",1,groganics,https://i5.walmartimages.com/asr/ed63df5f-b0a6-44d9-b38a-5385a3705609_1.40863f65eaff18db5473f244c56dc91e.jpeg ,5
3846,Vega Chlorella Dietary Supplement Powder 5.3 oz. Bottle,1,vega,https://i5.walmartimages.com/asr/e8ddd649-4959-4454-9798-cc185525baa6_1.c98f8adaf041556d63baadedf00316a9.jpeg,5
1707,Guerlain L\homme Ideal Eau De Toilette Spray for Men 3.3 oz,1,guerlain,https://i5.walmartimages.com/asr/2f141245-7503-494e-8354-17ae43e807b5_1.5490debb7c8f5c5ea1e03889242cd3da.jpeg ,5
428,"Alaffia Body Lotion, Vanilla, 32 Oz",2,alaffia,https://i5.walmartimages.com/asr/2988c323-cb6f-4a45-9bd7-9029d981630c_1.d65b6410f1b5a72233cdab07e25e153b.jpeg,5
